CountyState,ActivityYear,ResultMeasureValue,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure
Adams County-Illinois,2010,0.21277272727272728,40.055899090909094,-91.37108272727272
Adams County-Illinois,2011,0.08327777777777778,40.007116,-91.2422545
Adams County-Illinois,2012,0.07996153846153847,40.06926076923077,-91.36584692307693
Adams County-Illinois,2013,0.0886,39.970718545454545,-91.140114
Adams County-Illinois,2014,0.184,40.023338128571424,-91.33464368928571
Adams County-Illinois,2015,0.16896153846153844,40.06926076923077,-91.36584692307693
Adams County-Illinois,2016,0.09585714285714285,40.00115495238096,-91.22405323809524
Adams County-Illinois,2017,0.18046153846153848,40.06926076923077,-91.36584692307693
Adams County-Illinois,2018,0.29333333333333333,40.06313666666667,-91.36824666666666
Adams County-Illinois,2019,0.24003846153846153,40.06926076923077,-91.36584692307693
Adams County-Illinois,2020,0.2015,40.00627000000001,-91.39053
Adams County-Illinois,2021,0.0880625,39.980725,-91.27709875000001
Adams County-Illinois,2022,0.1139,40.047214000000004,-91.374486
Adams County-Indiana,2010,0.25,40.72981481476666,-84.89907407403332
Adams County-Indiana,2018,0.32625000000000004,40.777643362493755,-84.888152924225
Adams County-Pennsylvania,2011,0.038799999999999994,39.827066666666674,-77.13599333333333
Adams County-Pennsylvania,2012,0.214875,39.89488333333333,-77.1484125
Adams County-Pennsylvania,2014,0.0095,39.8969,-77.4508
Adams County-Pennsylvania,2015,0.0092,39.8969,-77.4508
Adams County-Pennsylvania,2016,0.025464285714285714,39.81282142857143,-77.36445
Adams County-Pennsylvania,2017,0.01425,39.911565833333334,-77.38364916666667
Adams County-Pennsylvania,2018,0.016999999999999998,39.8969,-77.4508
Adams County-Pennsylvania,2019,0.021368421052631578,39.755336842105265,-77.32282105263157
Adams County-Pennsylvania,2020,0.08466666666666667,39.99786666666667,-77.1762
Adams County-Pennsylvania,2021,0.0145,39.9271125,-77.4476375
Adams County-Wisconsin,2014,0.058499999999999996,44.0371,-89.7227
Adams County-Wisconsin,2015,0.045,44.0371,-89.7227
Adams County-Wisconsin,2019,0.0439625,43.95197425,-89.753442375
Adams County-Wisconsin,2020,0.028335714285714287,43.97323471428571,-89.73857119642857
Adams County-Wisconsin,2021,0.03729979591836735,44.067742744897956,-89.72834758163265
Adams County-Wisconsin,2022,0.031745948275862065,44.041526375000004,-89.71428956896551
Adams County-Wisconsin,2023,0.03275602836879433,44.03945207092199,-89.70995917730497
Adams County-Wisconsin,2024,0.03836666666666667,43.786049,-89.65908533333334
Aitkin County-Minnesota,2010,0.04871373801916933,46.54045197124601,-93.43359409265175
Aitkin County-Minnesota,2011,0.05706,46.55337996190476,-93.52572726666666
Aitkin County-Minnesota,2012,0.05481914893617021,46.44105284042553,-93.53480029787234
Aitkin County-Minnesota,2013,0.02550877192982456,46.33846452631579,-93.5153328245614
Aitkin County-Minnesota,2014,0.036486301369863014,46.463302815068495,-93.49065530821917
Aitkin County-Minnesota,2015,0.04352870813397129,46.678768476076556,-93.42239656220096
Aitkin County-Minnesota,2016,0.05236304347826087,46.575301045031054,-93.53501967546583
Aitkin County-Minnesota,2017,0.04619887429643527,46.52985186866792,-93.53624494183865
Aitkin County-Minnesota,2018,0.05272254335260116,46.4929441734104,-93.4978533468208
Aitkin County-Minnesota,2019,0.036561475409836064,46.45008142622951,-93.4698452704918
Aitkin County-Minnesota,2020,0.035376470588235294,46.43650436470588,-93.5489746117647
Aitkin County-Minnesota,2021,0.035048780487804874,46.48390958536585,-93.4920153495935
Aitkin County-Minnesota,2022,0.14278632478632478,46.49694594017094,-93.46787664102564
Albany County-New York,2010,0.04676,42.554368620000005,-73.91967265999999
Albany County-New York,2011,0.05373846153846154,42.615005723076926,-74.00457470769231
Albany County-New York,2012,0.05224444444444445,42.584008133333334,-73.85208573333334
Albany County-New York,2013,0.050564179104477615,42.60622326417911,-73.81561510597015
Albany County-New York,2014,0.050175000000000004,42.542236925,-73.909277775
Albany County-New York,2015,0.026253571428571428,42.57944657142857,-73.91880464285714
Alcona County-Michigan,2014,0.0315,44.7411,-83.5268
Alcona County-Michigan,2015,0.016333333333333335,44.5771,-83.4937
Alexander County-Illinois,2010,0.58475,37.165617749999996,-89.38857275000001
Alexander County-Illinois,2011,0.1805668571428571,37.15673157142857,-89.37867657142858
Alexander County-Illinois,2012,0.17199542105263158,37.187501947368425,-89.40884315789474
Alexander County-Illinois,2013,0.2,37.19129016666667,-89.4164208888889
Alexander County-Illinois,2014,0.249,37.18285684878049,-89.37527959268293
Alexander County-Illinois,2015,0.29763636363636364,37.24317718181818,-89.47791927272728
Alexander County-Illinois,2016,0.2750909090909091,37.24317718181818,-89.47791927272728
Alexander County-Illinois,2017,0.23675000000000002,37.249101,-89.48056799999999
Alexander County-Illinois,2018,0.30441666666666667,37.249101,-89.48056799999999
Alexander County-Illinois,2019,0.15377631578947368,37.199721434210524,-89.32851257894737
Alexander County-Illinois,2020,0.1225,37.21652,-89.466
Alexander County-Illinois,2021,0.1895,37.21652,-89.466
Alexander County-Illinois,2022,0.16175,37.21652,-89.466
Alger County-Michigan,2010,0.016400128421052606,46.55028421052632,-86.35203684210528
Alger County-Michigan,2011,0.012737434782608687,46.554147826086954,-86.33983043478261
Alger County-Michigan,2012,0.011630976399999984,46.55855544,-86.33318320000001
Alger County-Michigan,2013,0.018163655172413796,46.514051,-86.44005586206897
Alger County-Michigan,2014,0.023962178076923076,46.56262226923077,-86.32086230769231
Alger County-Michigan,2015,0.009024996333333323,46.518035166666664,-86.39772253333334
Alger County-Michigan,2016,0.01695572346153845,46.56087226923077,-86.32768153846155
Alger County-Michigan,2017,0.014724851199999995,46.559842880000005,-86.33521839999999
Alger County-Michigan,2018,0.020311072999999992,46.494534650000006,-86.465662
Alger County-Michigan,2019,0.01649604173913042,46.55405126086957,-86.34103130434782
Alger County-Michigan,2020,0.013169785199999989,46.56531916,-86.30821680000001
Alger County-Michigan,2021,0.028003925714285696,46.52672092857143,-86.39783142857144
Alger County-Michigan,2022,0.04800000000000001,46.5118,-86.45023333333334
Allegan County-Michigan,2010,0.10716666666666667,42.651115,-86.106115
Allegan County-Michigan,2011,0.08178947368421052,42.64451078947368,-85.91684131578947
Allegan County-Michigan,2012,0.06376190476190476,42.602019047619045,-85.99496
Allegan County-Michigan,2013,0.08416842105263157,42.66437815789473,-86.00068763157896
Allegan County-Michigan,2014,0.0545,42.6278275,-85.6797175
Allegan County-Michigan,2015,0.0402,42.629348,-85.67509199999999
